,title,company_name,location,salary_avg,salary_min,salary_max
1393,Senior Performance Marketing (Data Analyst),EDWARD JONES,"Loose Creek, MO",,,
1394,Business Data Analyst,Insight Global,"Oklahoma City, OK",,,
1395,Financial Data Analyst,Enstar Group,United States,,,
1396,Financial Data Analyst,Enstar Group,United States,,,
1397,Problem Management Business Data Analyst Intern,Corporate,"Jefferson City, MO",,,
1398,Lead Data Analyst,EDWARD JONES,"Fayette, MO",,,
1399,Lead Data Analyst,EDWARD JONES,"Jamestown, MO",,,
1400,Lead Data Analyst,EDWARD JONES,"Belle, MO",,,
1401,Lead Data Analyst,EDWARD JONES,"High Point, MO",,,
1402,Entry Level Data Analyst - US Army (13J),United States Army,United States,,,
1403,Marketing Database Manager/Data Analyst - Remote US,Marvel Marketers,United States,,,
1404,Budget & Data Analyst I - Flexible/Hybrid,COMMERCE BANK,"Kansas City, MO",,,
1405,Data Analyst - Infection Prevention Services,CoxHealth,"Springfield, MO",,,
1406,Business Analyst/Healthcare Data Analyst,Alakaina Foundation Family of Companies,United States,,,
1407,Workday Reporting/Data Analyst,Corporate,"Columbia, MO",,,
1408,Data Analyst Product MP,Mercury Insurance,"Oklahoma City, OK",,,
1409,IT Data Analyst Intern - PMO,COMMERCE BANK,"Kansas City, MO",,,
1410,"Team Lead, Data Analytics - EABI",COMMERCE BANK,"Kansas City, MO",,,
1411,Senior Data Analyst - CXT Cloud Operations,Change Healthcare,"Oklahoma City, OK",,,
1412,Bravo-Data Analyst,MEDICAL MUTUAL OF OHIO,United States,,,
1413,Web Analyst,CALIFORNIA CLOSETS,United States,,,
1414,User Acceptance Testing and Data Analysis Coordinator,Kellton Tech Inc,United States,31.5,28.0,35.0
1415,Data Analyst (Adobe Analytics),Harnham,United States,55.0,45.0,65.0
1416,Data Catalog Analyst,Sift Healthcare,United States,92500.0,65000.0,120000.0
1417,Sr. Business Data Analyst,New American Funding,United States,100000.0,,
1418,Sr. Data Analyst,Medasource,United States,110000.0,,
1419,Sr Data Analyst,H&R Block,"Kansas City, MO",,,
1420,Business Data Analyst,Insight Global,"Oklahoma City, OK",,,
1421,Lead Data Analyst,EDWARD JONES,"Jerome, MO",,,
1422,Lead Data Analyst,EDWARD JONES,"Olean, MO",,,
1423,Lead Data Analyst,EDWARD JONES,"Lake Spring, MO",,,
1424,Lead Data Analyst,EDWARD JONES,"Walnut Grove, MO",,,
1425,Senior Financial Analyst / Business Analyst / Data Analyst – Remote,Four Pillars Talent,United States,,,
1426,SAP Master Data Analyst,Kforce,"Wichita, KS",,,
1427,Lead Data Analyst,EDWARD JONES,"Warrensburg, MO",,,
1428,Data Analyst - Infection Prevention Services,CoxHealth,"Springfield, MO",,,
1429,BI Data Analyst,EquipmentShare,"Kansas City, MO",,,
1430,REMOTE / HYBRID - Healthcare Data Analyst (HEDIS),SpectraMedix,United States,,,
1431,Snowflake Data Analyst (Remote) - Strong SQL skills a must,Transformco,United States,,,
1432,Data Quality Analyst,California Regional Multiple Listing Service (CRMLS),United States,,,
1433,Master Data Business Analyst,divihnsoft,United States,47.0,,
1434,Senior Performance Marketing (Data Analyst),EDWARD JONES,"Odessa, MO",,,
1435,Lead Data Analyst,EDWARD JONES,"Hartsburg, MO",,,
1436,Data Analyst II,EDWARD JONES,"Chamois, MO",,,
1437,Business Analyst - Data Analytics,Insight Global,"Kansas City, KS",,,
1438,Reporting/Data Analyst,Kitestring,"Rogers, AR",,,
1439,Data Analyst II,EDWARD JONES,"Jefferson City, MO",,,
1440,Lead Data Analyst,EDWARD JONES,"Columbia, MO",,,
1441,Lead Data Analyst,EDWARD JONES,"Harrisburg, MO",,,
1442,Business Intelligence Analyst *W2 only* [Remote],Braintrust,United States,,,
1443,Marketing Data & BI Analyst II,EDWARD JONES,"Kingsville, MO",103781.0,76798.0,130764.0
1444,Budget & Data Analyst I - Flexible/Hybrid,COMMERCE BANK,"Kansas City, MO",,,
1445,"Operations Analyst, Performance Management",Oasis Financial,United States,,,
1446,Data Analyst - Merchandising (Remote),"Custom Ink , LLC","Shawnee, KS",,,
1447,Sr. Planning Data Analyst,CBRE,"Oklahoma City, OK",,,
1448,Data Analyst (Adobe Analytics),Harnham,United States,55.0,45.0,65.0
1449,Data Analyst (Market Research),Harnham,United States,70.0,60.0,80.0
1450,Senior Data Analyst,Harnham,United States,130000.0,120000.0,140000.0
1451,Quantitative Analyst,VGM,United States,57500.0,50000.0,65000.0
1452,Manager of Sales Analytics & Reporting,PAYCOM PAYROLL LLC,"Oklahoma City, OK",,,
1453,Lead-Data Analyst,EDWARD JONES,Missouri,144481.5,106916.0,182047.0
1454,Marketing Data & BI Analyst II,EDWARD JONES,"Kingsville, MO",103781.0,76798.0,130764.0
1455,Data Analyst,CommScope,"Oklahoma City, OK",,,
1456,Data reporting analyst,Consumer Cellular,"Oklahoma City, OK",,,
1457,Tableau developer,Defined Software Development,"Dearing, KS",,,
1458,Data analyst,CommScope,"Hunter, OK",,,
1459,Data analyst,CommScope,"Lexington, OK",,,
1460,Jr data analyst,Incedo Inc,"Dearing, KS",,,
1461,Data analyst,"Berean Group International, Inc.","Dearing, KS",,,
1462,Health care analyst,RIIM,"Dearing, KS",,,
1463,Inventory analyst,"Altec, Inc.","St Joseph, MO",,,
1464,Data analyst,"Capstone IT, Inc.","Dearing, KS",,,
1465,Data analyst,Humana,"Tulsa, OK",,,
1466,Clinical data analyst,Flatiron Health,"New York Township, MO",,,
1467,Entry data analyst,Dhalite,"Dearing, KS",,,
1468,Tableau developer,Defined Software Development,"Dearing, KS",,,
1469,Sr bi developer,CRB,"Kansas City, MO",,,
1470,Marketing data analyst,Deloitte Consulting LLP,"Kansas City, MO",,,
1471,Data analyst,CommScope,"Oklahoma City, OK",,,
1472,Jr data analyst,"Staffigo Technical Services, LLC","Springfield, MO",,,
1473,Data analyst remote,General Dynamics Information Technology,"Fort Smith, AR",,,
1474,Data analyst,Neal Analytics LLC,"Dearing, KS",,,
1475,Data analyst ii,EDWARD JONES,"Freeburg, MO",,,
1476,Data analyst ii,EDWARD JONES,"Dixon, MO",,,
1477,Data analyst ii,EDWARD JONES,"Rocheport, MO",,,
1478,Data analyst ii,EDWARD JONES,"Fordland, MO",,,
1479,Data analyst ii,EDWARD JONES,"Wesco, MO",,,
1480,Data analyst ii,EDWARD JONES,"Turners, MO",,,
1481,Performance marketing,EDWARD JONES,"Duke, MO",,,
1482,Data analyst ii,EDWARD JONES,"Kingsville, MO",,,
1483,Data analyst ii,EDWARD JONES,"Brinktown, MO",,,
1484,Performance marketing,EDWARD JONES,"Republic, MO",,,
1485,Performance marketing,EDWARD JONES,"Higginsville, MO",,,
1486,Performance marketing,EDWARD JONES,"Clark, MO",,,
1487,Data analyst ii,EDWARD JONES,"Centralia, MO",,,
1488,Data analyst ii,Cox Communications,"Tulsa, OK",,,
1489,Data analyst,Oklahoma Medical Research Foundation,"Oklahoma City, OK",,,
1490,Data analyst ii,Cox Communications,"Springdale, AR",,,
1491,Data analyst,"Halcyon Solutions, Inc.","Dearing, KS",,,
1492,Data analyst,Consulting Solutions LLC,"Dearing, KS",,,
1493,Data analyst,SyrenCloud LLC,"Dearing, KS",,,
1494,Data analyst,HL Solutions LLC,"Dearing, KS",,,
1495,Data analyst,FutureTech Consultants LLC,"Dearing, KS",,,
1496,Data analyst ii,Oracle,"Kansas City, MO",,,
1497,Data analyst,GLOBAL VISSE INC,"Dearing, KS",,,
1498,Data analyst,Innoworx Technology Services LLC,"Dearing, KS",,,
1499,Data analyst,Piplnow,"Dearing, KS",,,
1500,Data analyst,AdamsGabbert,"Kansas City, KS",,,
1501,Financial data analyst,Prairie Fire Resources,"Kansas City, MO",,,
1502,Health data analyst,Sedgwick County,"Wichita, KS",19.64,,
1503,Data analyst,"Staffigo Technical Services, LLC","Oklahoma City, OK",,,
1504,Data analyst ii,EDWARD JONES,"Vichy, MO",,,
1505,Data analyst ii,EDWARD JONES,Missouri,,,
1506,Data analyst ii,EDWARD JONES,"La Monte, MO",,,
1507,Data analyst ii,EDWARD JONES,"Bates City, MO",,,
1508,Data analyst ii,EDWARD JONES,"Duke, MO",,,
1509,Data analyst ii,EDWARD JONES,"Rogersville, MO",,,
1510,Data Modeler/Data Analyst,KONNECTINGTREE INC,United States,49.0,48.0,50.0
1511,Investment Data Analyst,WaterEquity,"Kansas City, MO",,,
1512,"Cleared Data Scientist Analyst, Senior Consultant",Guidehouse,"Jefferson City, MO",,,
1513,SAS Data Analyst- Contract,Talent Group,United States,65.0,60.0,70.0
1514,Machine Learning Operations - Analyst REMOTE,Liberty Mutual Insurance,United States,145000.0,125000.0,165000.0
1515,Senior Performance Marketing (Data Analyst),EDWARD JONES,"Hallsville, MO",,,
1516,Financial Data Analyst II - Remote,Corporate,"Jefferson City, MO",,,
1517,Financial Data Analyst II - Remote,Corporate,"Jefferson City, MO",,,
1518,Associate Consultant - Data Analysis (Kansas City Metro Area Only),"SES, Inc.","Shawnee, KS",55000.0,40000.0,70000.0
1519,Data Analyst(w2),Mican Technologies,United States,42.5,40.0,45.0
1520,Sr. Business Data Analyst,TELEPERFORMANCE USA,"Topeka, KS",,,
1521,Data Analyst II,EDWARD JONES,"Vienna, MO",,,
1522,Workday Reporting/Data Analyst,Corporate,"Kansas City, MO",,,
1523,Marketing Data Analyst,LRP Media Group,United States,,,
1524,Business Intelligence Analyst (PowerBI),"esolvit inc.,",United States,62.5,60.0,65.0
1525,Senior Data Strategy Analyst,Liberty Mutual Insurance,United States,105600.5,99201.0,112000.0
1526,Problem Management Business Data Analyst Intern,Corporate,"Jefferson City, MO",,,
1527,Bravo-Data Analyst,MEDICAL MUTUAL OF OHIO,United States,,,
1528,Jr. Data Analyst,"Staffigo Technical Services, LLC","Jefferson City, MO",,,
1529,Jr. Data Analyst,"Staffigo Technical Services, LLC","Jefferson City, MO",,,
1530,Marketing Data Analyst,Aquent,United States,39.5,34.0,45.0
1531,Healthcare Data Analyst,itrending solutions,United States,52.5,50.0,55.0
1532,Senior Content Data Analyst (Video Streaming),Harnham,United States,65.0,60.0,70.0
1533,Data Analyst - Merchandising (Remote),"Custom Ink , LLC","Springfield, MO",,,
1534,Marketing Data & BI Analyst II,EDWARD JONES,"Centralia, MO",103781.0,76798.0,130764.0
1535,Data Analyst II,EDWARD JONES,"Fordland, MO",,,
1536,Data Analyst II,EDWARD JONES,"Warrensburg, MO",,,
1537,CoxHealth Data Analyst - Infection Prevention Services,CoxHealth,"Springfield, MO",,,
1538,Marketing Data & BI Analyst II,EDWARD JONES,"Centralia, MO",103781.0,76798.0,130764.0
1539,"Data Analyst, Enterprise and Finance Analytics (REMOTE)","Foot Locker, Foot Locker",United States (+9 others),,,
1540,Data Analyst,Chartboost,United States,,,
1541,Data Reporting Analyst,Robert Half,"Overland Park, KS",,,
1543,Data Reporting Analyst,Robert Half,"Overland Park, KS",,,
1544,Data Analyst,Jobot,"Tulsa, OK",85000.0,70000.0,100000.0
1545,Data Analyst II,Commercial Solutions,"Columbia, MO",,,
1546,( 75% Remote ) Retail / Oracle POS Business Data Analyst,Apex Systems,"Kansas City, MO",,,
1547,Lead Data Scientist,MNTN,United States,,,
1548,Data Analyst IV,Corporate,"Kansas City, MO",,,
1549,Sr. BI Analyst,INSPYR Solutions,United States,,,
1550,Data Analyst III (Power BI Reporting) - Remote,Corporate,"Jefferson City, MO",,,
1551,Data Analyst IV (Healthcare Analytics),Corporate,"Jefferson City, MO",,,
1552,Data Analyst II,Commercial Solutions,"Kansas City, MO",,,
1553,GIS Data Analyst,GDH,"Lenexa, KS",,,
1554,Data Analyst I (Healthcare Analytics),Corporate,Missouri,,,
1555,"Senior Data Analyst, Business Intelligence",Cox Enterprises,United States (+26 others),,,
1556,"Senior Data Analyst, Business Intelligence",Cox Enterprises,United States (+26 others),,,
1557,Data Analyst III (Healthcare Analytics/UM/Appeals),Corporate,"Kansas City, MO",,,
1558,Healthcare Data Analyst,American CyberSystems,"Springfield, MO",,,
1559,Financial and Data Analyst - Regulatory Compliance,Evergy,"Topeka, KS",,,
1560,Quality Data Analyst,Symrise,United States,,,
1561,Mission Command Data Management Analyst Jobs,Northrop Grumman,"Leavenworth, KS",,,
1562,GIS Data Analyst,GDH,"Lenexa, KS",,,
1564,Junior Data Analyst,Iris Software Inc.,United States,,,
1565,Business Data Analyst,Insight Global,United States,,,
1566,Accounting Data Analyst,Koch,"Wichita, KS",,,
1567,"Data Analyst, Forbes Vetted",Forbes,United States,,,
1568,Business Data Analyst,Peacefestival,United States,,,
1569,Data Analyst,Jefferies Financial Group Inc.,United States,,,
1570,Entry level Data Analyst,Tandym,United States,,,
1571,Junior Data Analyst,ISS | Institutional Shareholder Services,"Norman, OK",,,
1572,Research Data Analyst,Engage3,United States,,,
1573,Junior Data Analyst,Tandym,United States,,,
1574,Data Management Data Analyst,Cohere Health,United States,,,
1575,Data Analyst,"Staffigo Technical Services, LLC","Topeka, KS",,,
1576,Data Analyst III,Mercy Health,"Springfield, MO",,,
1577,Population Health Data Analyst,Fraser,United States,,,
1578,Financial Data Analyst,Corporate,"Columbia, MO",,,
1579,Lead Data Analyst,Thrive Market,United States,,,
1580,Senior Data Analyst,Roofr,United States,,,
1581,ESG Data Product Designer Analyst,JPMorgan Chase,United States,,,
1582,"Senior Data Analyst, Sales Operations",Cherry Technologies,United States,,,
1583,Data Analyst,"Staffigo Technical Services, LLC","Kansas City, KS",,,
1584,Jr. Data Analyst,"Staffigo Technical Services, LLC","Oklahoma City, OK",,,
1585,Data Analyst,LexisNexis Risk Solutions,"Oklahoma City, OK",,,
1586,Data Analyst,Vesta,United States,,,
1587,Data Analyst,Insight Global,"Oklahoma City, OK",,,
1588,Senior Data Analyst,Cox,"Tulsa, OK",,,
1589,Senior Data Analyst,Humana,"Bentonville, AR",,,
1590,Data Analyst II,Careerbuilder-US,"Springfield, MO",,,
1591,"Senior Data Analyst, Subscription Analytics",Careerbuilder-US,United States,,,
1592,Strategy Data Analyst,Flagship Pioneering,United States,,,
1593,Senior Data Analyst,Randstad,United States,,,
1594,Senior Data Analyst,Brown University,United States,,,
1595,Data Analyst,Saic,United States,,,
1596,Senior Data Analyst,EDWARD JONES,"Ashland, MO",,,
1597,Senior Data Analyst,EDWARD JONES,"Lohman, MO",,,
1598,Data Analyst Supporting the FBI,WITS Solutions Inc.,United States,,,
1599,Data Analyst,New Directions Behavioral Health,"Overland Park, KS",,,
1600,Data Analyst II,Corporate,"Jefferson City, MO",,,
1601,Data Analyst,SpringbokIT,United States,,,
1602,Data Analyst Engineer,Careerbuilder-US,United States,,,
1603,Data analyst,Modis,United States,,,
1604,Data Analyst,Chewy,United States,,,
1605,"Sr. Data Analyst, Logistics",Rivian,United States,,,
1606,PowerBI Data Analyst,Kelly Mitchell Group,United States,,,
1607,Sr Data Integrity Analyst,McKesson,United States,,,
1608,Data Analyst,Specialized Bicycle Components,United States,,,
1609,AVP - Senior Data Analyst,Citi,United States,,,
1610,Problem Management Business Data Analyst Intern,Corporate,"Jefferson City, MO",,,
1611,Data Analyst II. Job in Columbia Gecko Jobs,EDWARD JONES,"Columbia, MO",,,
1612,Data Analyst II. Job in Columbia Gecko Jobs,EDWARD JONES,"Columbia, MO",,,
1613,Data Analyst,Executive Staffing Group (ESG),United States,,,
1614,Data Analyst,Executive Staffing Group (ESG),United States,,,
1615,Data Analyst,"Government Employees Health Association, Inc. - GEHA","Lee's Summit, MO",,,
1616,Data Analyst,LexisNexis Risk Solutions Group,"Oklahoma City, OK",,,
1617,Data Analyst,RELX,"Oklahoma City, OK",,,
1618,Data Analyst AVP,Barclays,United States,,,
1619,Program Management Data Analyst,Citi,United States,,,
1620,Business/Data Analyst Manager- AVP,Citi,United States,,,
1621,Senior Data Analyst-Growth,Highmark Health,"Topeka, KS",,,
1622,Business Data Analyst,Lockton,"Kansas City, MO",,,
1623,Data Analyst,"347 Group, Inc.",United States,,,
1624,Senior Data Analyst,Humana,"Kansas City, KS",,,
1625,Junior Data Analyst,Intensify,United States,,,
1626,Data Analyst,Disability Solutions,United States,,,
1627,Data Analyst,Disability Solutions,United States,,,
1628,Data Analyst,RennerBrown,United States,,,
1629,Quality Data Analyst,"Magic Leap, Inc.",United States,,,
1630,Data Analyst,SCA Health,United States,,,
1631,Data Analyst Co Op,Bayer,United States,,,
1632,Senior Data Analyst,Brown University,United States,,,
1633,Quality Data Analyst,Textron,"Wichita, KS",,,
1634,Data Analyst,Tata Consultancy Services,"Bentonville, AR",,,
1635,Data Analyst,Baltimore County Public Schools,United States,,,
1636,Data Analyst,Baltimore County Public Schools,United States,,,
1637,Data Analyst,"Koch Business Solutions, LP","Wichita, KS",,,
1638,"Data Analyst, IR",WSU Tech,"Wichita, KS",,,
1639,Senior Data Analyst,Spark451 Inc.,United States,,,
1640,Senior Data Analyst,Spark451 Inc.,United States,,,
1641,Data Analyst,Endeavor Streaming,United States,,,
1642,Jr Data Analyst,"Lockton, Inc.","Kansas City, MO",,,
1643,"Senior Data Analyst, Business Optimization",Cox,"Mulvane, KS",,,
1644,Data Analyst,IBTCI -International Business & Technical Consultants Inc,United States,,,
1645,Senior Data Analyst,myGwork,United States,,,
1646,Senior Data Analyst,Humana,United States,,,
1647,Data Analyst,"Dewolff , Boberg & Associates Inc","Oklahoma City, OK",,,
1648,Healthcare Data Analyst,Gainwell Technologies LLC,United States,,,
1649,Healthcare Data Analyst,Gainwell Technologies LLC,United States,,,
1650,Senior Data Analyst,Ally Financial,United States,,,
1651,"Senior Associate, Data Analyst",KPMG,"Kansas City, MO",,,
1652,Healthcare Data Analyst,Gainwell Technologies LLC,United States,,,
1653,QA Data Analyst,"Regeneron Pharmaceuticals, Inc.",United States,,,
1654,Data Analyst,Humana,United States,,,
1655,Data Analyst,Koch,"Wichita, KS",,,
1656,Senior Data Analyst,Public Partnerships,"Oklahoma City, OK",,,
1657,Data Analyst,ICF,"Jefferson City, MO",,,
1658,Accounting Data Analyst,"Koch Business Solutions, LP","Wichita, KS",,,
1659,Senior Data Analyst,Public Partnerships,"Oklahoma City, OK",,,
1660,UHT - Data Analyst 2,University of Miami,United States,,,
1661,Data Analyst IV,Corporate,"Kansas City, MO",,,
1662,Supply Chain Data Analyst,Cardinal Health,United States,,,
1663,Supply Chain Data Analyst,Cardinal Health,United States,,,
1664,Online Data Analyst,TELUS International,United States,,,
1665,Senior Real Estate Data Analyst,Acord (association For Cooperative Operations Research And Development),United States,,,
1666,Data Analyst,Koch Industries,"Wichita, KS",,,
1667,Data Analyst,Burrell Behavioral Health,"Springfield, MO",,,
1668,"Data Analyst, IR",WSU Tech,"Wichita, KS",,,
1669,Senior Data Analyst,Humana,"Kansas City, MO",,,
1670,Business and Data Analyst,ICF,"Jefferson City, MO",,,
1671,US-Business/ Data Analyst,eTeam,United States,,,
1672,US-Business/ Data Analyst,eTeam,United States,,,
1673,Enterprise Data Analyst,ISS Corporate Solutions,"Norman, OK",,,
1674,Enrollment Data Analyst,American Fidelity,"Oklahoma City, OK",,,
1675,Energy Management Data Analyst,Missouri State Job Bank,"Springfield, MO",,,
1676,Junior Data Analyst,DecisionPoint | Cortek,United States,,,
1677,Financial Data Analyst,QED National,United States,,,
1678,"Senior Business Data Analyst, Revenue Cycle Telecommute",The Lancet,United States,,,
1679,Pre-Clerkship Assessment Data Analyst,Washington State University,United States,,,
1680,data analyst,SynergisticIT,United States,,,
1681,Business Data Analyst,Computan,United States,,,
1682,Senior Data Analyst,Humana,"Overland Park, KS",,,
1683,HealthCare Data Analyst,Xoriant,United States,,,
1684,Data Analyst-eCommerce,Textron,"Wichita, KS",,,
1685,Data Analyst,American Bureau of Shipping,United States,,,
1686,Lead Data Analyst,QED National,United States,,,
1687,Data Analyst,Humana,"Lenexa, KS",,,
1688,Senior Data Analyst,SunPower,"Topeka, KS",,,
1689,Business Data Analyst,Heitmeyer Consulting,United States,,,
1690,Data Analyst,Azusa Pacific University,United States,,,
1691,Senior Finance Data Analyst,Burlington Stores,United States,,,
1692,"Senior Analyst, Data",SitusAMC,"Oklahoma City, OK",,,
1693,Global Operations Data Analyst III,RELX,"Oklahoma City, OK",,,
1694,Senior Data Analyst,Jobot,United States,,,
1695,Sr. CI and Manufacturing Data Analyst,Niagara Bottling,United States,,,
1696,"Senior Data Analyst, Business Optimization",Cox,"Derby, KS",,,
1697,"Senior Data Analyst, Business Optimization",Cox,"Nicoma Park, OK",,,
1698,Data Analyst,Upwork,United States,,,
1699,Senior Data Analyst,Cox,United States,,,
1700,SEM Data Analyst,Clearesult,United States,,,
1701,Senior Data Analyst,Cox,United States,,,
1702,SEM Data Analyst,Clearesult,United States,,,
1703,Lead Data Analyst,Lumen,United States,,,
1704,Data Analyst,HAN IT Staffing,United States,,,
1705,Workday Reporting Data Analyst,Corporate,"Jefferson City, MO",,,
1706,Data Analyst II,California Health & Wellness,United States,,,
1707,Enrollment Data Analyst,American Fidelity,"Oklahoma City, OK",,,
1708,WGL - Research & Data Analyst (DIMP Analyst or Sr DIMP Analyst),AltaGas,United States,,,
1709,"Director of Enterprise Data, Analytics and Visualization",Boston Medical Center,"Norman, OK",,,
1710,"Director of Enterprise Data, Analytics and Visualization",Boston Medical Center,"Independence, MO",,,
1711,Data Analyst,"Dewolff , Boberg & Associates Inc","Oklahoma City, OK",,,
1712,Data Analyst,"Na Ali'i Consulting & Sales, LLC.",United States,,,
1713,Workday Reporting Data Analyst,Corporate,"Columbia, MO",,,
1714,Workday Reporting Data Analyst,Corporate,"Jefferson City, MO",,,
1715,WGL - Research & Data Analyst (DIMP Analyst or Sr DIMP Analyst),AltaGas,United States,,,
1716,Enrollment Data Analyst,American Fidelity,"Oklahoma City, OK",,,
1717,Financial Data Analyst,QED National,United States,,,
1718,Data Analyst I,Kelly Services,"Overland Park, KS",,,
1719,:Data Analyst,Sysmind LLC,United States,,,
1720,Data Analyst II,Sedgwick County,"Wichita, KS",,,
1721,Data Analyst I,Kelly Services,"Overland Park, KS",,,
1722,Data Analyst,SHI GmbH,"Oklahoma City, OK",,,
1723,Data Analyst-Parts,Apollo MedFlight,"Wichita, KS",,,
1724,Product Data Analyst,Motion Recruitment,United States,,,
1725,Staff Data Analyst,Walmart,"Bentonville, AR",,,
1726,Senior Data Analyst,Humana,"Bentonville, AR",,,
1727,Principal Business Data Analyst,"Discover Financial Services, Inc.",United States,,,
1728,Data Analyst,SHI GmbH,"Oklahoma City, OK",,,
1729,Claim Data Analyst,ATI Business Group,United States,,,
1730,Claim Data Analyst,ATI Business Group,United States,,,
1731,Sr. Business Data Analyst,UnitedHealth Group,United States,,,
1732,Quality Data Analyst,Atlantic Health System,United States,,,
1733,Senior Data Analyst,Humana,"Tulsa, OK",,,
1734,Data Analyst,Insight Global,United States,,,
1735,Senior Data Analyst,Humana,"Tulsa, OK",,,
1736,Business Analyst/Healthcare Data Analyst,Alaka`ina Foundation Family of Companies,United States,,,
1737,Entry Level Data Analyst,"Staffigo Technical Services, LLC","Jefferson City, MO",,,
1738,Lead Data Analyst,Discover,"Jefferson City, MO",,,
1739,Business Analyst/Healthcare Data Analyst,Alaka`ina Foundation Family of Companies,United States,,,
1740,Principal Business Data Analyst,"Discover Financial Services, Inc.",United States,,,
1741,Jr. Data Analyst,"Staffigo Technical Services, LLC","Jefferson City, MO",,,
1742,Senior Data Analyst,CVS Health,"Wichita, KS",,,
1743,Data Analyst I,Mount Sinai Medical Center,United States,,,
1744,Senior Data Analyst,Humana,"Tulsa, OK",,,
1745,Principal Data Analyst,Syneos Health,United States,,,
1746,Data Analyst,Quess US,United States,,,
1747,Data Analyst,Baltimore County Public Schools,United States,,,
1748,Data Analyst,Trigyn Technologies Limited,United States,,,
1749,Online Data Analyst,TELUS International AI,United States,,,
1750,Investment Data Analyst,Western & Southern Financial Group,United States,,,
1751,2022 Aftermarket Data Analyst,Textron,"Wichita, KS",,,
1752,Principal Data Analyst,Walmart,"Bentonville, AR",,,
1753,Senior Data Analyst,Ro,United States,,,
1754,Senior Data Analyst,Dish,United States,,,
1755,Data Reporting Analyst,NADAP,United States,,,
1756,Integration Data Analyst,PeerSource,United States,,,
1757,Insurance Data Analyst REMOTE,Work At Home Vintage Experts,"Wichita, KS",,,
1758,Data Analyst Specialist,Principle Strategies LLC,United States,,,
1759,"Senior Associate, Data Analyst",KPMG,"Oklahoma City, OK",,,
1760,Mid Level Business Data Analyst,Peraton,United States,,,
1761,Lead Data Analyst,Laka & Company,United States,,,
1762,Health data analyst,"Anthem, Inc","Oklahoma City, OK",,,
1763,North Region Data Analyst,Department of Transportation,United States,,,
1764,"Data Analyst, Finance and Accounting",Addison Group,United States,,,
1765,Senior Financial Data Analyst,Advisor Group,United States,,,
1766,Power BI System/Data Analyst,Precision Solutions,United States,,,
1767,Senior Data Analyst,Walmart,"Bentonville, AR",,,
1768,Scientific Data Analyst,National Radio Astronomy Observatory,United States,,,
1769,Workforce Optimization Data Analyst,myGwork,"Springfield, MO",,,
1770,Data Analyst,Garrett Consulting LLC,United States,,,
1771,Data Analyst,Brooksource,United States,,,
1772,Data Analyst,Planet Technology,United States,,,
1773,Data Analyst Team Lead,Union Home Mortgage Corp.,United States,,,
1774,Data Analyst,Resume Library,"Kansas City, MO",,,
1775,Senior Data Analyst,Humana,"Bentonville, AR",,,
1776,Capital Market Data Analyst,Experis,United States,,,
1777,Data Analyst,EPITEC,United States,,,
1778,SEM Data Analyst,Clearesult,United States,,,
1779,SEM Data Analyst,Clearesult,United States,,,
1780,Data Analyst,RANE (Risk Assistance Network + Exchange),United States,,,
1781,Data Analyst,EPITEC,United States,,,
1782,SEM Data Analyst,Clearesult,United States,,,
1783,Data Analyst,Humana,"Tulsa, OK",,,
1784,"Sr. Data Analyst, Marketing Operations",Cox,"Goddard, KS",,,
1785,Senior Data Analyst,Resume Library,United States,,,
1786,Data Analyst,Aptive,United States,,,
1787,Data Analyst,Trinity Solar Careers,United States,,,
1788,Data Analyst,PRIDE HEALTH CARE,United States,,,
1789,Business Data Analyst,Experis,United States,,,
1790,Master Data Analyst,Vertellus,United States,,,
1791,Senior Data Analyst,Oracle,"Kansas City, MO",,,
1792,Business Analyst/Data Analyst(Banking or Finance ),Nityo Infotech,United States,,,
1793,Healthcare Data Analyst,Gainwell Technologies LLC,United States,,,
1794,Provider Maintenance Data Analyst,Tandym Group,United States,,,
1795,Binance Accelerator Programme- Research Data Analyst,Binance,United States,,,
1796,Billing & Collections Data Analyst,BWA South Co. Inc.,United States,,,
1797,1182950 Data Analyst,Enterprise Solutions Inc,United States,,,
1798,Data Analyst,Tulsa Remote,"Claremore, OK",,,
1799,Data Analyst,Tulsa Remote,"Claremore, OK",,,
1800,Business Data Analyst,Fiserv,United States,,,
1801,Data Analyst,AT&T,United States,,,
1802,Data Analyst,AT&T,United States,,,
1803,Data Analyst,Resume Library,"Overland Park, KS",,,
1804,Data Analyst,Tulsa Remote,"Owasso, OK",,,
1805,Data Analyst,Tulsa Remote,"Kellyville, OK",,,
1806,Digital Data Analyst,OrCam Technologies Ltd,United States,,,
1807,Data analyst specialist,Charles Schwab,United States,,,
1808,Junior Data Analyst,Parker Shaw,United States,,,
1809,Digital Data Analyst,OrCam Technologies Ltd,United States,,,
1810,Technical Data Analyst,Stellent IT LLC,United States,,,
1811,Senior Data Analyst,Change Healthcare,"Jefferson City, MO",,,
1812,Business Data Analyst III,Recruitee,United States,,,
1813,Data Analyst,Tulsa Remote,"Skiatook, OK",,,
1814,Data analyst,Static Jobs,United States,,,
1815,Health data analyst,"Anthem, Inc","Columbia, MO",,,
1816,Data Analyst Sr Revenue Management,Stericycle,United States,,,
1817,Sales operations data analyst associate,Sprinklr,United States,,,
1818,Bioinformatician/Research Data Analyst,Stanford University,United States,,,
